Desc	Orthogroup	Aspergillus_welwitschiae_ccmb674	Aspergillus_welwitschiae_ccmb663	Aspergillus_welwitschiae_ihem	Aspergillus_welwitschiae_ocstreb1	Aspergillus_welwitschiae_item	Aspergillus_welwitschiae_imrd1	Aspergillus_welwitschiae_cbs
(null)	OG0000000	11	12	10	12	11	11	12
(null)	OG0000001	12	10	9	10	10	10	9
(null)	OG0000002	8	10	8	8	8	8	9
(null)	OG0000003	6	6	6	6	7	9	6
(null)	OG0000004	6	4	4	6	4	4	3
(null)	OG0000005	5	6	5	6	6	6	5
(null)	OG0000006	5	5	5	5	5	5	6
(null)	OG0000007	5	5	5	5	5	5	5
(null)	OG0000008	4	5	5	5	5	5	5
(null)	OG0000009	8	0	5	12	3	0	8
(null)	OG0000010	2	4	5	6	3	3	6
(null)	OG0000011	10	2	4	2	10	11	15
(null)	OG0000012	6	6	6	5	5	5	4
(null)	OG0000013	4	4	4	4	4	4	4
(null)	OG0000014	4	4	4	4	4	4	4
(null)	OG0000015	3	4	4	3	4	4	5
(null)	OG0000016	4	4	4	4	4	4	4
(null)	OG0000017	6	1	1	4	10	1	4
(null)	OG0000018	3	3	4	3	3	3	4
(null)	OG0000019	3	5	5	3	5	3	3
(null)	OG0000020	4	4	4	5	4	4	4
(null)	OG0000021	4	3	3	4	3	3	4
(null)	OG0000022	2	4	6	4	6	6	4
(null)	OG0000023	5	3	3	3	3	3	4
(null)	OG0000024	3	3	4	3	4	4	3
(null)	OG0000025	2	2	2	3	2	2	2
(null)	OG0000026	2	3	4	3	3	2	2
(null)	OG0000027	2	1	5	4	7	5	1
(null)	OG0000028	3	3	3	3	3	3	3
(null)	OG0000029	2	2	3	2	3	3	5
(null)	OG0000030	3	3	3	3	3	3	4
(null)	OG0000031	0	1	6	6	6	0	0
(null)	OG0000032	3	4	3	3	3	3	3
(null)	OG0000033	3	3	3	3	3	3	4
(null)	OG0000034	3	3	3	3	3	3	3
(null)	OG0000035	3	3	4	3	3	3	3
(null)	OG0000036	3	3	3	3	3	3	3
(null)	OG0000037	3	3	3	3	3	3	3
(null)	OG0000038	5	0	0	5	6	0	0
(null)	OG0000039	2	4	3	3	4	4	4
(null)	OG0000040	3	3	3	3	3	3	3
(null)	OG0000041	5	0	0	3	0	2	0
(null)	OG0000042	8	0	9	3	0	8	5
(null)	OG0000043	3	3	3	3	3	3	3
(null)	OG0000044	1	4	2	7	2	4	0
(null)	OG0000045	3	2	3	3	4	4	3
(null)	OG0000046	2	3	3	3	4	3	3
(null)	OG0000047	3	0	5	3	5	2	7
(null)	OG0000048	3	3	3	3	3	3	3
(null)	OG0000049	3	3	2	3	3	2	3
(null)	OG0000050	3	4	4	3	3	3	3
(null)	OG0000051	3	3	2	2	2	2	2
(null)	OG0000052	3	3	3	3	3	3	3
(null)	OG0000053	3	3	3	3	3	3	3
(null)	OG0000054	3	3	3	3	3	3	3
(null)	OG0000055	1	3	1	3	2	3	1
(null)	OG0000056	7	0	8	1	7	5	2
(null)	OG0000057	2	0	10	2	10	9	2
(null)	OG0000058	2	2	3	4	3	3	2
(null)	OG0000059	3	3	3	3	3	3	3
(null)	OG0000060	2	3	4	3	3	3	3
(null)	OG0000061	3	2	2	2	2	2	2
(null)	OG0000062	3	0	8	3	3	0	6
(null)	OG0000063	4	6	3	8	5	4	2
(null)	OG0000064	2	4	2	3	3	3	4
(null)	OG0000065	3	3	3	3	3	3	3
(null)	OG0000066	0	0	5	2	9	4	0
(null)	OG0000067	2	0	7	5	4	4	17
(null)	OG0000068	2	3	3	2	2	2	3
(null)	OG0000069	3	2	3	3	1	2	2
(null)	OG0000070	2	5	5	2	2	2	7
(null)	OG0000071	4	2	2	1	4	3	4
(null)	OG0000072	4	1	3	1	5	6	2
(null)	OG0000073	2	2	2	2	2	2	2
