Orthogroup	Aspergillus_eucalypticola	Aspergillus_luchuensis	Aspergillus_neoniger	Aspergillus_niger_ASM285	Aspergillus_niger_CBS101883	Aspergillus_piperis	Aspergillus_tubingensis	Aspergillus_vadensis	Aspergillus_welwitschiae_cbs	Aspergillus_welwitschiae_ccmb663	Aspergillus_welwitschiae_ccmb674	Aspergillus_welwitschiae_ihem	Aspergillus_welwitschiae_imrd1	Aspergillus_welwitschiae_item	Aspergillus_welwitschiae_ocstreb1	Aspergillus_welwitschiae_ref_cbs	Neurospora_crassa
OG0000000	"XP_025382188.1, XP_025383929.1, XP_025383930.1, XP_025384450.1, XP_025384453.1, XP_025384481.1, XP_025385214.1, XP_025385768.1, XP_025386131.1, XP_025386427.1, XP_025388183.1, XP_025388276.1, XP_025392030.1"	"XP_041538863.1, XP_041539271.1, XP_041540402.1, XP_041542157.1, XP_041543459.1, XP_041544055.1, XP_041544325.1, XP_041544861.1, XP_041547782.1, XP_041547875.1, XP_041548294.1"	"XP_025474040.1, XP_025474619.1, XP_025474707.1, XP_025475386.1, XP_025475425.1, XP_025476073.1, XP_025479197.1, XP_025479293.1, XP_025480806.1, XP_025482779.1, XP_025483070.1"	"XP_001388709.1, XP_001389868.1, XP_001390411.1, XP_001393089.1, XP_001393409.1, XP_001394358.1, XP_001396513.1, XP_001398312.1, XP_001399173.1, XP_001401809.1, XP_001402486.1"	"XP_025449501.1, XP_025450982.1, XP_025452795.1, XP_025452921.1, XP_025455191.1, XP_025455234.1, XP_025456556.1, XP_025457487.1, XP_025457976.1, XP_025460190.1"	"XP_025510566.1, XP_025510623.1, XP_025512311.1, XP_025513308.1, XP_025514631.1, XP_025514733.1, XP_025515125.1, XP_025515314.1, XP_025517393.1, XP_025519549.1, XP_025520209.1, XP_025520416.1"	"XP_035353266.1, XP_035353268.1, XP_035353928.1, XP_035356013.1, XP_035356014.1, XP_035356219.1, XP_035357308.1, XP_035357654.1, XP_035357986.1, XP_035360268.1, XP_035361083.1, XP_035361186.1, XP_035361469.1, XP_035361720.1, XP_035361766.1, XP_035362417.1"	"XP_025558070.1, XP_025558118.1, XP_025558288.1, XP_025559137.1, XP_025559665.1, XP_025560351.1, XP_025560352.1, XP_025561490.1, XP_025562334.1, XP_025563955.1, XP_025565870.1, XP_025567423.1, XP_025568944.1"	"gene_00663.t1, gene_02888.t1, gene_04459.t1, gene_04565.t1, gene_06735.t1, gene_07113.t1, gene_07391.t1, gene_08973.t1, gene_09681.t1, gene_09737.t1, gene_10699.t1, gene_12401.t1"	"gene_00871.t1, gene_01104.t1, gene_01997.t1, gene_02047.t1, gene_02547.t1, gene_04096.t1, gene_05295.t1, gene_06310.t1, gene_07879.t1, gene_08004.t1, gene_10082.t1, gene_10184.t1"	"gene_01657.t1, gene_01757.t1, gene_04905.t1, gene_06032.t1, gene_06058.t1, gene_07345.t1, gene_07653.t1, gene_08816.t1, gene_09934.t1, gene_10352.t1, gene_12430.t1"	"gene_01664.t1, gene_02153.t1, gene_02311.t1, gene_03230.t1, gene_05336.t1, gene_05475.t1, gene_06979.t1, gene_07775.t1, gene_08483.t1, gene_12678.t1"	"gene_00107.t1, gene_00209.t1, gene_00562.t1, gene_02270.t1, gene_04426.t1, gene_05060.t1, gene_06089.t1, gene_06692.t1, gene_07868.t1, gene_09771.t1, gene_09824.t1"	"gene_01018.t1, gene_01733.t1, gene_03639.t1, gene_04430.t1, gene_05164.t1, gene_06437.t1, gene_07010.t1, gene_07163.t1, gene_08285.t1, gene_08644.t1, gene_09499.t1"	"gene_03026.t1, gene_06334.t1, gene_06582.t1, gene_07685.t1, gene_08448.t1, gene_08771.t1, gene_09109.t1, gene_09514.t1, gene_10224.t1, gene_10606.t1, gene_11063.t1, gene_12195.t1"	"XP_026620224.1, XP_026621895.1, XP_026622954.1, XP_026623005.1, XP_026623755.1, XP_026625131.1, XP_026625369.1, XP_026626117.1, XP_026628091.1, XP_026628194.1, XP_026629483.1, XP_026632695.1"	
OG0000001	"XP_025382259.1, XP_025384472.1, XP_025384541.1, XP_025386140.1, XP_025387208.1, XP_025390629.1, XP_025391756.1, XP_025391862.1, XP_025392645.1, XP_025393240.1"	"XP_041537096.1, XP_041538738.1, XP_041539374.1, XP_041541042.1, XP_041541140.1, XP_041542160.1, XP_041542532.1, XP_041542533.1, XP_041544071.1, XP_041545909.1, XP_041549277.1"	"XP_025475388.1, XP_025476413.1, XP_025477011.1, XP_025480823.1, XP_025482151.1, XP_025482508.1, XP_025483720.1, XP_025485112.1, XP_025485256.1, XP_025485363.1"	"XP_001389644.1, XP_001390738.1, XP_001391214.1, XP_001392447.3, XP_001392568.1, XP_001396492.1, XP_001396831.1, XP_059599598.1, XP_059600817.1, XP_059605792.1"	"XP_025448472.1, XP_025449988.1, XP_025450986.1, XP_025452237.1, XP_025453637.1, XP_025455449.1, XP_025457003.1, XP_025457125.1, XP_025457995.1, XP_025460537.1"	"XP_025510639.1, XP_025511717.1, XP_025512313.1, XP_025516271.1, XP_025518029.1, XP_025518970.1, XP_025519075.1, XP_025520651.1, XP_025521072.1, XP_025521165.1"	"XP_035353158.1, XP_035354431.1, XP_035355119.1, XP_035356315.1, XP_035359002.1, XP_035359740.1, XP_035359846.1, XP_035361704.1, XP_035362017.1, XP_035362415.1"	"XP_025557454.1, XP_025558135.1, XP_025558411.1, XP_025559667.1, XP_025561075.1, XP_025561198.1, XP_025561794.1, XP_025561955.1, XP_025562059.1"	"gene_01176.t1, gene_01291.t1, gene_02198.t1, gene_06302.t1, gene_07117.t1, gene_08599.t1, gene_09666.t1, gene_11374.t1, gene_11577.t1"	"gene_00421.t1, gene_00867.t1, gene_01458.t1, gene_02061.t1, gene_02332.t1, gene_03098.t1, gene_03472.t1, gene_07246.t1, gene_07362.t1, gene_11993.t1"	"gene_00536.t1, gene_02026.t1, gene_04777.t1, gene_05705.t1, gene_05835.t1, gene_06140.t1, gene_07133.t1, gene_07657.t1, gene_08356.t1, gene_08801.t1, gene_08802.t1, gene_08804.t1"	"gene_01174.t1, gene_02324.t1, gene_04539.t1, gene_05340.t1, gene_05804.t1, gene_07927.t1, gene_09199.t1, gene_10388.t1, gene_12068.t1"	"gene_01244.t1, gene_03420.t1, gene_04462.t1, gene_05056.t1, gene_08244.t1, gene_09838.t1, gene_10706.t1, gene_10820.t1, gene_11778.t1, gene_12918.t1"	"gene_00916.t1, gene_01501.t1, gene_03643.t1, gene_04416.t1, gene_06566.t1, gene_07102.t1, gene_08366.t1, gene_08806.t1, gene_12377.t1, gene_12993.t1"	"gene_00660.t1, gene_01282.t1, gene_01332.t1, gene_04150.t1, gene_04266.t1, gene_04633.t1, gene_05755.t1, gene_06801.t1, gene_09500.t1, gene_10610.t1"	"XP_026620977.1, XP_026621326.1, XP_026622941.1, XP_026624042.1, XP_026625373.1, XP_026626250.1, XP_026630576.1, XP_026631743.1, XP_026631864.1"	XP_960553.1
OG0000002	"XP_025384782.1, XP_025386432.1, XP_025386572.1, XP_025387068.1, XP_025387753.1, XP_025390140.1, XP_025390810.1, XP_025391354.1"	"XP_041538439.1, XP_041540583.1, XP_041543028.1, XP_041543400.1, XP_041544329.1, XP_041545708.1, XP_041546911.1, XP_041547491.1"	"XP_025473632.1, XP_025474702.1, XP_025476726.1, XP_025477558.1, XP_025477754.1, XP_025480228.1, XP_025480986.1, XP_025483533.1"	"XP_001390417.1, XP_001391581.1, XP_001398067.1, XP_001400898.1, XP_001401336.1, XP_001402298.1, XP_059602675.1, XP_059606533.1"	"XP_025448611.1, XP_025451961.1, XP_025451995.1, XP_025452611.1, XP_025453392.1, XP_025454645.1, XP_025456561.1, XP_025459309.1"	"XP_025510209.1, XP_025510368.1, XP_025510938.1, XP_025511989.1, XP_025514394.1, XP_025516469.1, XP_025519554.1, XP_025520774.1"	"XP_035351831.1, XP_035352193.1, XP_035353348.1, XP_035354287.1, XP_035358721.1, XP_035360345.1, XP_035360917.1, XP_035361464.1"	"XP_025558736.1, XP_025560673.1, XP_025562329.1, XP_025563729.1, XP_025566070.1, XP_025566521.1, XP_025566950.1, XP_025567043.1"	"gene_00450.t1, gene_01782.t1, gene_05366.t1, gene_07843.t1, gene_10300.t1, gene_10693.t1, gene_11730.t1, gene_12534.t1, gene_12607.t1"	"gene_00353.t1, gene_00357.t1, gene_00600.t1, gene_01097.t1, gene_01924.t1, gene_02902.t1, gene_06985.t1, gene_09693.t1, gene_10447.t1, gene_11842.t1"	"gene_00934.t1, gene_02549.t1, gene_03379.t1, gene_05133.t1, gene_06026.t1, gene_07420.t1, gene_09671.t1, gene_12229.t1"	"gene_00843.t1, gene_01658.t1, gene_06003.t1, gene_06419.t1, gene_07684.t1, gene_09127.t1, gene_11424.t1, gene_11715.t1"	"gene_04804.t1, gene_05143.t1, gene_05769.t1, gene_06308.t1, gene_07052.t1, gene_07862.t1, gene_09225.t1, gene_09622.t1"	"gene_03124.t1, gene_05981.t1, gene_07497.t1, gene_08291.t1, gene_09555.t1, gene_09724.t1, gene_10624.t1, gene_11435.t1"	"gene_03379.t1, gene_04010.t1, gene_08777.t1, gene_09809.t1, gene_11366.t1, gene_12129.t1, gene_12372.t1, gene_12830.t1"	"XP_026619991.1, XP_026620086.1, XP_026620957.1, XP_026621890.1, XP_026622216.1, XP_026624711.1, XP_026627031.1, XP_026631180.1, XP_026632471.1"	
OG0000003	"XP_025387317.1, XP_025389916.1, XP_025392977.1"	"XP_041536763.1, XP_041537534.1, XP_041539596.1, XP_041541773.1, XP_041542199.1, XP_041542278.1, XP_041547448.1, XP_041549167.1"	"XP_025474259.1, XP_025477115.1, XP_025477507.1, XP_025481026.1, XP_025483103.1, XP_025484938.1"	"XP_059601609.1, XP_059601821.1, XP_059603208.1, XP_059605472.1, XP_059605812.1"	"XP_025448182.1, XP_025451024.1, XP_025453761.1, XP_025455027.1, XP_025455184.1, XP_025456097.1"	"XP_025511578.1, XP_025512352.1, XP_025512544.1"	"XP_035354342.1, XP_035354535.1, XP_035354800.1, XP_035356147.1, XP_035356534.1, XP_035356535.1, XP_035360875.1, XP_035361405.1, XP_035362316.1, XP_035362378.1"	"XP_025559704.1, XP_025561692.1, XP_025563204.1, XP_025566988.1"	"gene_02696.t1, gene_02878.t1, gene_03382.t1, gene_03904.t1, gene_06614.t1, gene_07155.t1"	"gene_00828.t1, gene_03346.t1, gene_05304.t1, gene_05475.t1, gene_08063.t1, gene_08882.t1"	"gene_00600.t1, gene_07698.t1, gene_08607.t1, gene_08954.t1, gene_11679.t1, gene_12439.t1"	"gene_00404.t1, gene_02163.t1, gene_05040.t1, gene_05378.t1, gene_06562.t1, gene_08135.t1"	"gene_00917.t1, gene_01407.t1, gene_02257.t1, gene_02258.t1, gene_02259.t1, gene_02758.t1, gene_04367.t1, gene_05020.t1, gene_10386.t1"	"gene_00267.t1, gene_01078.t1, gene_01673.t1, gene_03681.t1, gene_05534.t1, gene_09508.t1, gene_11685.t1"	"gene_00919.t1, gene_03016.t1, gene_07625.t1, gene_08216.t1, gene_10648.t1, gene_11956.t1"	"XP_026625407.1, XP_026625995.1, XP_026628961.1, XP_026629195.1, XP_026629473.1, XP_026630137.1"	
OG0000004	"XP_025384957.1, XP_025386646.1, XP_025388184.1, XP_025392306.1, XP_025392379.1, XP_025392615.1, XP_025392808.1"	"XP_041536927.1, XP_041536928.1, XP_041537132.1, XP_041543864.1, XP_041547412.1, XP_041547783.1, XP_041548595.1, XP_041548665.1, XP_041548799.1"	"XP_025474757.1, XP_025477346.1, XP_025477551.1, XP_025478515.1, XP_025479292.1, XP_025481066.1, XP_025485145.1"	"XP_001389608.1, XP_001394684.1, XP_059599866.1, XP_059604336.1, XP_059604861.1"	"XP_025455267.1, XP_025455483.1, XP_025459415.1, XP_025459902.1, XP_025460121.1"	"XP_025513281.1, XP_025514315.1, XP_025514732.1, XP_025516052.1, XP_025517658.1, XP_025518062.1, XP_025521412.1"	"XP_035354961.1, XP_035355151.1, XP_035357949.1, XP_035358033.1, XP_035358158.1, XP_035360839.1, XP_035361184.1, XP_035361185.1"	"XP_025559079.1, XP_025559136.1, XP_025562094.1, XP_025563038.1, XP_025563361.1, XP_025565991.1, XP_025568899.1, XP_025568900.1, XP_025569013.1"	"gene_03506.t1, gene_03581.t1, gene_08938.t1"	"gene_03846.t1, gene_04061.t1, gene_05601.t1, gene_05672.t1"	"gene_01658.t1, gene_04095.t1, gene_07097.t1, gene_07303.t1, gene_07725.t1, gene_07801.t1"	"gene_05511.t1, gene_08306.t1, gene_11178.t1, gene_11210.t1"	"gene_00523.t1, gene_02877.t1, gene_02954.t1, gene_03382.t1"	"gene_02466.t1, gene_05358.t1, gene_08126.t1, gene_10963.t1"	"gene_01369.t1, gene_07324.t1, gene_07395.t1, gene_11098.t1, gene_12318.t1, gene_12880.t1"	"XP_026623160.1, XP_026623721.1, XP_026629309.1, XP_026629382.1"	"XP_958119.1, XP_959099.1, XP_962743.1, XP_962746.1"
OG0000005	"XP_025384537.1, XP_025387559.1, XP_025387730.1, XP_025388163.1, XP_025389495.1, XP_025391557.1"	"XP_041540141.1, XP_041540834.1, XP_041544068.1, XP_041546772.1, XP_041547752.1"	"XP_025474091.1, XP_025479311.1, XP_025479464.1, XP_025480818.1, XP_025481659.1"	"XP_001392813.1, XP_001396496.1, XP_001399498.3, XP_059605703.1, XP_059606976.1"	"XP_025449965.1, XP_025451291.1, XP_025452942.1, XP_025457991.1, XP_025460879.1"	"XP_025510636.1, XP_025514752.1, XP_025515256.1, XP_025517211.1, XP_025517751.1, XP_025519289.1"	"XP_035352341.1, XP_035357052.1, XP_035357706.1, XP_035359554.1, XP_035361203.1, XP_035361707.1"	"XP_025557545.1, XP_025558033.1, XP_025558132.1, XP_025559155.1, XP_025561440.1, XP_025568424.1"	"gene_00964.t1, gene_04584.t1, gene_07937.t1, gene_09670.t1, gene_11278.t1"	"gene_02057.t1, gene_06604.t1, gene_07574.t1, gene_08407.t1, gene_10062.t1, gene_10555.t1"	"gene_01638.t1, gene_03911.t1, gene_04525.t1, gene_08807.t1, gene_11767.t1"	"gene_02320.t1, gene_06960.t1, gene_07198.t1, gene_09993.t1, gene_10326.t1"	"gene_00229.t1, gene_04267.t1, gene_06223.t1, gene_08597.t1, gene_09834.t1, gene_11030.t1"	"gene_00725.t1, gene_04420.t1, gene_06457.t1, gene_07301.t1, gene_10594.t1, gene_11198.t1"	"gene_00008.t1, gene_05507.t1, gene_07166.t1, gene_07524.t1, gene_08467.t1, gene_09504.t1"	"XP_026621414.1, XP_026622945.1, XP_026624813.1, XP_026628215.1, XP_026631525.1"	XP_957777.1
OG0000006	"XP_025383350.1, XP_025387102.1, XP_025387346.1, XP_025387587.1, XP_025389036.1"	"XP_041540170.1, XP_041540536.1, XP_041542440.1, XP_041545507.1, XP_041549151.1"	"XP_025476769.1, XP_025476958.1, XP_025477133.1, XP_025481689.1, XP_025482648.1"	"XP_001393623.3, XP_001402345.1, XP_059601810.1, XP_059602650.1, XP_059605111.1"	"XP_025449771.1, XP_025453780.1, XP_025455848.1, XP_025459118.1, XP_025460847.1"	"XP_025510409.1, XP_025511238.1, XP_025511561.1, XP_025515694.1, XP_025517723.1"	"XP_035353530.1, XP_035354326.1, XP_035354550.1, XP_035357080.1, XP_035362162.1"	"XP_025557178.1, XP_025561675.1, XP_025562890.1, XP_025567003.1, XP_025568397.1"	"gene_03812.t1, gene_07306.t1, gene_07967.t1, gene_08454.t1, gene_11511.t1, gene_12755.t1"	"gene_02699.t1, gene_03324.t1, gene_06951.t1, gene_08436.t1, gene_09497.t1"	"gene_05543.t1, gene_08929.t1, gene_11796.t1, gene_12029.t1, gene_12563.t1"	"gene_00424.t1, gene_00639.t1, gene_06380.t1, gene_10022.t1, gene_10096.t1"	"gene_04857.t1, gene_06191.t1, gene_06838.t1, gene_10407.t1, gene_12168.t1"	"gene_05188.t1, gene_06109.t1, gene_10064.t1, gene_10320.t1, gene_10666.t1"	"gene_03807.t1, gene_07198.t1, gene_07726.t1, gene_11404.t1, gene_12283.t1"	"XP_026619771.1, XP_026621078.1, XP_026624257.1, XP_026624844.1, XP_026625556.1, XP_026628870.1"	"XP_959675.3, XP_965072.2"
OG0000007	"XP_025383820.1, XP_025386209.1, XP_025387380.1, XP_025388299.1, XP_025393557.1"	"XP_041539029.1, XP_041542245.1, XP_041545460.1, XP_041547900.1, XP_041549112.1"	"XP_025473956.1, XP_025474852.1, XP_025476115.1, XP_025479174.1, XP_025484387.1"	"XP_001388458.1, XP_001393196.1, XP_001395284.1, XP_001402457.3, XP_059601308.1"	"XP_025448335.1, XP_025449527.1, XP_025454605.1, XP_025458304.1, XP_025460427.1"	"XP_025509921.1, XP_025512393.1, XP_025514609.1, XP_025520376.1, XP_025521347.1"	"XP_035354589.1, XP_035355975.1, XP_035359113.1, XP_035362337.1"	"XP_025558311.1, XP_025559742.1, XP_025560309.1, XP_025561633.1, XP_025564668.1"	"gene_03878.t1, gene_04431.t1, gene_07211.t1, gene_08783.t1, gene_12155.t1"	"gene_00772.t1, gene_08292.t1, gene_08510.t1, gene_09389.t1, gene_10213.t1"	"gene_01783.t1, gene_05642.t1, gene_09388.t1, gene_11584.t1, gene_12456.t1"	"gene_00462.t1, gene_05215.t1, gene_08580.t1, gene_11807.t1, gene_12413.t1"	"gene_00076.t1, gene_04948.t1, gene_08531.t1, gene_10450.t1, gene_12851.t1"	"gene_04692.t1, gene_07132.t1, gene_08576.t1, gene_10299.t1, gene_11232.t1"	"gene_00316.t1, gene_06873.t1, gene_07814.t1, gene_10256.t1, gene_11151.t1"	"XP_026620494.1, XP_026623890.1, XP_026625465.1, XP_026628065.1, XP_026628933.1"	"XP_011394237.1, XP_011394238.1"
OG0000008	"XP_025383879.1, XP_025385477.1, XP_025389172.1, XP_025392856.1"	"XP_041536880.1, XP_041541294.1, XP_041543448.1, XP_041545403.1, XP_041546424.1"	"XP_025474493.1, XP_025477394.1, XP_025478290.1, XP_025484295.1"	"XP_001389908.3, XP_001390893.3, XP_001392250.1, XP_059602096.1, XP_059603792.1, XP_059604474.1"	"XP_025448725.1, XP_025450503.1, XP_025453312.1, XP_025454344.1, XP_025458111.1"	"XP_025510555.1, XP_025513908.1, XP_025516872.1, XP_025517611.1, XP_025518810.1"	"XP_035352670.1, XP_035354915.1, XP_035359170.1, XP_035360002.1"	"XP_025557538.1, XP_025558586.1, XP_025563313.1, XP_025564610.1"	"gene_04109.t1, gene_08701.t1, gene_10175.t1, gene_10918.t1, gene_12002.t1"	"gene_02172.t1, gene_04804.t1, gene_05812.t1, gene_08576.t1, gene_11230.t1"	"gene_00813.t1, gene_10284.t1, gene_11173.t1, gene_11529.t1"	"gene_02431.t1, gene_05156.t1, gene_06098.t1, gene_09395.t1, gene_11666.t1"	"gene_01809.t1, gene_03037.t1, gene_07112.t1, gene_11447.t1, gene_11876.t1"	"gene_04305.t1, gene_04528.t1, gene_06319.t1, gene_11545.t1, gene_12071.t1"	"gene_04433.t1, gene_06935.t1, gene_09390.t1, gene_09547.t1, gene_11982.t1"	"XP_026620611.1, XP_026621693.1, XP_026622369.1, XP_026623808.1, XP_026628431.1"	"XP_011394657.1, XP_011394658.1"
OG0000009		"XP_041543518.1, XP_041543539.1, XP_041543580.1, XP_041543581.1, XP_041543684.1, XP_041543856.1, XP_041543857.1, XP_041543901.1, XP_041543953.1, XP_041543954.1"		"XP_059603584.1, XP_059603674.1"	"XP_025448974.1, XP_025453072.1"			"XP_025560820.1, XP_025560915.1, XP_025560927.1, XP_025560945.1, XP_025560946.1, XP_025560969.1"	"gene_12304.t1, gene_12603.t1, gene_12844.t1, gene_12913.t1, gene_12946.t1, gene_12960.t1, gene_13014.t1, gene_13083.t1"		"gene_00164.t1, gene_00504.t1, gene_01532.t1, gene_02341.t1, gene_02543.t1, gene_03844.t1, gene_03997.t1, gene_03999.t1"	"gene_12090.t1, gene_12638.t1, gene_12769.t1, gene_12890.t1, gene_12896.t1"		"gene_12859.t1, gene_12864.t1, gene_13039.t1"	"gene_12692.t1, gene_12864.t1, gene_12893.t1, gene_12894.t1, gene_13031.t1, gene_13059.t1, gene_13136.t1, gene_13198.t1, gene_13201.t1, gene_13210.t1, gene_13231.t1, gene_13234.t1"	"XP_026619210.1, XP_026619265.1, XP_026619274.1, XP_026619357.1, XP_026619465.1, XP_026619478.1, XP_026619532.1, XP_026619552.1, XP_026619575.1, XP_026619585.1, XP_026619646.1, XP_026619962.1, XP_026619963.1, XP_026619985.1, XP_026620310.1"	
