GENE_ID,KEGG_ko
gene_00064.t1,"ko05206,map05206"
gene_03682.t1,"ko05206,map05206"
gene_04101.t1,"ko05206,map05206"
gene_04953.t1,"ko05206,map05206"
gene_05860.t1,"ko05206,map05206"
gene_08962.t1,"ko05206,map05206"
gene_11587.t1,"ko05206,map05206"
gene_05917.t1,"ko05169,ko05203,map05169,map05203"
gene_06104.t1,"ko05169,ko05203,map05169,map05203"
gene_07409.t1,"ko05169,ko05203,map05169,map05203"
gene_09762.t1,"ko05169,ko05203,map05169,map05203"
gene_10953.t1,"ko05169,ko05203,map05169,map05203"
gene_00437.t1,"ko05166,map05166"
gene_01752.t1,"ko05166,map05166"
gene_02127.t1,"ko05166,map05166"
gene_07052.t1,"ko05166,map05166"
gene_07543.t1,"ko05166,map05166"
gene_08014.t1,"ko05166,map05166"
gene_09343.t1,"ko05166,map05166"
gene_09861.t1,"ko05166,map05166"
gene_11069.t1,"ko05166,map05166"
gene_03786.t1,"ko05165,map05165"
gene_04493.t1,"ko05165,map05165"
gene_04914.t1,"ko05165,map05165"
gene_05553.t1,"ko05165,map05165"
gene_07844.t1,"ko05165,map05165"
gene_09279.t1,"ko05165,map05165"
gene_11375.t1,"ko05165,map05165"
gene_12109.t1,"ko05165,map05165"
gene_12231.t1,"ko05165,map05165"
gene_02943.t1,"ko05165,ko05166,ko05200,ko05225,ko05226,map05165,map05166,map05200,map05225,map05226"
gene_03776.t1,"ko05165,ko05166,ko05200,ko05225,ko05226,map05165,map05166,map05200,map05225,map05226"
gene_04903.t1,"ko05165,ko05166,ko05200,ko05225,ko05226,map05165,map05166,map05200,map05225,map05226"
gene_11387.t1,"ko05165,ko05166,ko05200,ko05225,ko05226,map05165,map05166,map05200,map05225,map05226"
gene_12120.t1,"ko05165,ko05166,ko05200,ko05225,ko05226,map05165,map05166,map05200,map05225,map05226"
gene_03095.t1,"ko05134,map05134"
gene_04782.t1,"ko05134,map05134"
gene_06647.t1,"ko05134,map05134"
gene_06793.t1,"ko05134,map05134"
gene_07220.t1,"ko05134,map05134"
gene_11313.t1,"ko05134,map05134"
gene_01994.t1,"ko05034,ko05165,ko05203,map05034,map05165,map05203"
gene_03514.t1,"ko05034,ko05165,ko05203,map05034,map05165,map05203"
gene_04673.t1,"ko05034,ko05165,ko05203,map05034,map05165,map05203"
gene_00082.t1,"ko05010,map05010"
gene_00330.t1,"ko05010,map05010"
gene_01803.t1,"ko05010,map05010"
gene_01992.t1,"ko05010,map05010"
gene_03512.t1,"ko05010,map05010"
gene_04671.t1,"ko05010,map05010"
gene_06099.t1,"ko05010,map05010"
gene_08666.t1,"ko05010,map05010"
gene_09065.t1,"ko05010,map05010"
gene_09287.t1,"ko05010,map05010"
gene_09549.t1,"ko05010,map05010"
gene_11854.t1,"ko05010,map05010"
gene_11393.t1,"ko04977,map04977"
gene_00418.t1,"ko04962,ko05016,map04962,map05016"
gene_03992.t1,"ko04962,ko05016,map04962,map05016"
gene_06758.t1,"ko04962,ko05016,map04962,map05016"
gene_07561.t1,"ko04962,ko05016,map04962,map05016"
gene_09495.t1,"ko04962,ko05016,map04962,map05016"
gene_10735.t1,"ko04962,ko05016,map04962,map05016"
gene_02212.t1,"ko04919,map04919"
gene_02981.t1,"ko04919,map04919"
gene_09028.t1,"ko04919,map04919"
gene_09116.t1,"ko04919,map04919"
gene_09475.t1,"ko04919,map04919"
gene_01214.t1,"ko04918,map04918"
gene_01508.t1,"ko04918,map04918"
gene_03449.t1,"ko04918,map04918"
gene_09517.t1,"ko04918,map04918"
gene_03150.t1,"ko04914,map04914"
gene_09323.t1,"ko04914,map04914"
gene_11412.t1,"ko04914,map04914"
gene_00176.t1,"ko04910,map04910"
gene_05427.t1,"ko04910,map04910"
gene_06183.t1,"ko04910,map04910"
gene_07901.t1,"ko04910,map04910"
gene_00195.t1,"ko04810,map04810"
gene_01842.t1,"ko04810,map04810"
gene_02111.t1,"ko04810,map04810"
gene_02312.t1,"ko04810,map04810"
gene_03091.t1,"ko04810,map04810"
gene_05472.t1,"ko04810,map04810"
gene_09045.t1,"ko04810,map04810"
gene_01221.t1,"ko04721,map04721"
gene_03442.t1,"ko04721,map04721"
gene_03490.t1,"ko04721,map04721"
gene_03493.t1,"ko04721,map04721"
gene_09509.t1,"ko04721,map04721"
gene_00326.t1,"ko04721,ko04723,ko04727,ko05032,ko05033,map04721,map04723,map04727,map05032,map05033"
gene_04684.t1,"ko04721,ko04723,ko04727,ko05032,ko05033,map04721,map04723,map04727,map05032,map05033"
gene_07223.t1,"ko04721,ko04723,ko04727,ko05032,ko05033,map04721,map04723,map04727,map05032,map05033"
gene_00926.t1,"ko04714,map04714"
gene_01951.t1,"ko04714,map04714"
gene_08488.t1,"ko04714,map04714"
gene_11424.t1,"ko04714,map04714"
gene_01334.t1,"ko04714,ko05225,map04714,map05225"
gene_05187.t1,"ko04714,ko05225,map04714,map05225"
gene_05936.t1,"ko04714,ko05225,map04714,map05225"
gene_07713.t1,"ko04714,ko05225,map04714,map05225"
gene_08295.t1,"ko04714,ko05225,map04714,map05225"
gene_03595.t1,"ko04666,ko04810,ko05203,map04666,map04810,map05203"
gene_03092.t1,"ko04657,map04657"
gene_06998.t1,"ko04657,map04657"
gene_08113.t1,"ko04657,map04657"
gene_08633.t1,"ko04657,map04657"
gene_10788.t1,"ko04657,map04657"
gene_11032.t1,"ko04657,map04657"
gene_11469.t1,"ko04657,map04657"
gene_06817.t1,"ko04624,ko05205,map04624,map05205"
gene_12925.t1,"ko04624,ko05205,map04624,map05205"
gene_13209.t1,"ko04624,ko05205,map04624,map05205"
gene_07668.t1,"ko04622,map04622"
gene_00564.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_02785.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_02786.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_05463.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_05877.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_05878.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_12221.t1,"ko04622,ko05161,ko05203,map04622,map05161,map05203"
gene_00090.t1,"ko04550,map04550"
gene_00381.t1,"ko04550,map04550"
gene_01892.t1,"ko04550,map04550"
gene_04325.t1,"ko04550,map04550"
gene_06620.t1,"ko04550,map04550"
gene_09914.t1,"ko04550,map04550"
gene_12695.t1,"ko04550,map04550"
gene_00468.t1,"ko04530,map04530"
gene_01939.t1,"ko04530,map04530"
gene_03049.t1,"ko04530,map04530"
gene_05786.t1,"ko04530,map04530"
gene_05987.t1,"ko04530,map04530"
gene_07480.t1,"ko04530,map04530"
gene_12112.t1,"ko04530,map04530"
gene_01015.t1,"ko04392,map04392"
gene_02503.t1,"ko04392,map04392"
gene_03259.t1,"ko04392,map04392"
gene_03822.t1,"ko04392,map04392"
gene_04925.t1,"ko04392,map04392"
gene_08508.t1,"ko04392,map04392"
gene_12634.t1,"ko04391,map04391"
gene_07662.t1,"ko04380,ko04933,ko05418,map04380,map04933,map05418"
