Orthogroup,query,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,blast hits,best hit (e-value|query coverage|percent identity),interproscan result,found,fpkm
OG0012389,gene_02580.t1,0,979,"KOG0254@1|root,KOG0254@2759|Eukaryota,39TRD@33154|Opisthokonta,3NW53@4751|Fungi,3RGX2@4890|Ascomycota,20ME7@147545|Eurotiomycetes,3SBBM@5042|Eurotiales",4751|Fungi,U,Sugar (and other) transporter,-,-,-,-,-,-,-,-,-,-,-,-,Sugar_tr,only A species,2e-61|88%|70.21%,,no domain,
OG0012721,gene_04425.t1,0,933,"KOG1382@1|root,KOG1382@2759|Eukaryota,38INN@33154|Opisthokonta,3P0RR@4751|Fungi,3QRNM@4890|Ascomycota,20FT1@147545|Eurotiomycetes,3S6IM@5042|Eurotiales",4751|Fungi,U,Belongs to the histidine acid phosphatase family,PHO5,"GO:0000322,GO:0000323,GO:0000324,GO:0001403,GO:0003674,GO:0003824,GO:0003993,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005783,GO:0006725,GO:0006766,GO:0006767,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007124,GO:0007154,GO:0008150,GO:0008152,GO:0008361,GO:0009267,GO:0009277,GO:0009605,GO:0009987,GO:0009991,GO:0012505,GO:0016036,GO:0016043,GO:0016049,GO:0016311,GO:0016462,GO:0016787,GO:0016788,GO:0016791,GO:0016817,GO:0016818,GO:0017111,GO:0017144,GO:0030287,GO:0030312,GO:0030447,GO:0031667,GO:0031668,GO:0031669,GO:0032535,GO:0033554,GO:0034641,GO:0036267,GO:0040007,GO:0042578,GO:0042594,GO:0042597,GO:0042723,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044182,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0047429,GO:0050896,GO:0051716,GO:0065007,GO:0065008,GO:0070783,GO:0071496,GO:0071704,GO:0071840,GO:0071944,GO:0072527,GO:0090066,GO:1901360,GO:1901564",3.1.3.2,ko:K01078,"ko00730,ko00740,ko01100,map00730,map00740,map01100",-,"R00548,R02135",RC00017,"ko00000,ko00001,ko01000",-,-,"iMM904.YAR071W,iND750.YAR071W",His_Phos_2,"A species, 4 hits only",2e-43|48%|98.59%,,,
OG0013991,gene_04895.t1,0,4672,"COG3321@1|root,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NWH8@4751|Fungi,3QPGD@4890|Ascomycota,20FM2@147545|Eurotiomycetes,3S4SM@5042|Eurotiales",4751|Fungi,I,polyketide synthase,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt","Many hits uncharacterized, hypothetical prot",,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250724-111445-0028-52771300-p1m/internal-1753352074088-1446-1/,DUF4895,
OG0012363,gene_07375.t1,0,1143,"COG0306@1|root,KOG2493@2759|Eukaryota,38HXZ@33154|Opisthokonta,3NUM9@4751|Fungi,3QN4C@4890|Ascomycota,20FY2@147545|Eurotiomycetes,3S3Y4@5042|Eurotiales",4751|Fungi,P,Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport,-,-,-,ko:K14640,-,-,-,-,"ko00000,ko02000",2.A.20.2,-,-,PHO4,4 A. species,0|83%|89.23%,,,
OG0015610,gene_09133.t1,0,1880,"KOG0318@1|root,KOG3162@1|root,KOG4711@1|root,KOG0318@2759|Eukaryota,KOG3162@2759|Eukaryota,KOG4711@2759|Eukaryota,38HAN@33154|Opisthokonta,3NWXR@4751|Fungi,3QMBH@4890|Ascomycota,20D1Z@147545|Eurotiomycetes,3S55A@5042|Eurotiales",4751|Fungi,J,Fusaric acid resistance protein-like,-,-,-,-,-,-,-,-,-,-,-,-,"ArAE_2,FUSC_2",no significant hit,,,,
OG0014020,gene_09378.t1,0,1006,"COG0671@1|root,KOG2822@2759|Eukaryota,39RT9@33154|Opisthokonta,3NUZW@4751|Fungi,3QMWS@4890|Ascomycota,20DN1@147545|Eurotiomycetes,3S7YH@5042|Eurotiales",4751|Fungi,I,Acid phosphatase homologues,LCB3,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006629,GO:0006643,GO:0006665,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019722,GO:0019932,GO:0023052,GO:0030148,GO:0030258,GO:0031224,GO:0031984,GO:0035556,GO:0042175,GO:0042392,GO:0042578,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046467,GO:0046839,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0098827,GO:1901564,GO:1901566,GO:1901576",-,"ko:K04716,ko:K04717","ko00600,ko04071,map00600,map04071",-,R06520,RC00017,"ko00000,ko00001,ko01000",-,-,-,PAP2,4 somewhat significant hit,2e-38|56%|97.22%,,,
OG0015165,gene_09436.t1,0,3556,"COG1020@1|root,COG3321@1|root,KOG1178@2759|Eukaryota,KOG1202@2759|Eukaryota,38HGX@33154|Opisthokonta,3NXPF@4751|Fungi,3QSQU@4890|Ascomycota,20GB5@147545|Eurotiomycetes",4751|Fungi,I,polyketide synthase,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Acyl_transf_1,KAsynt_C_assoc,Ketoacyl-synt_C,PP-binding,ketoacyl-synt",only 1 a.niger hit,8e-72|99|76.28%,,,
OG0014983,gene_12011.t1,0,1937,"COG0666@1|root,KOG0504@2759|Eukaryota,39YNX@33154|Opisthokonta,3P0DM@4751|Fungi,3QV70@4890|Ascomycota,20TVE@147545|Eurotiomycetes",4751|Fungi,S,Ankyrin repeats (3 copies),-,-,-,-,-,-,-,-,-,-,-,-,"Ank,Ank_2,NACHT",only one A. niger hit,2e-25|98%|84.48%,,,
OG0013456,gene_06061.t1,0,981,"KOG0254@1|root,KOG0254@2759|Eukaryota,38FAX@33154|Opisthokonta,3NV25@4751|Fungi,3QK3K@4890|Ascomycota,20JJA@147545|Eurotiomycetes,3S87V@5042|Eurotiales",4751|Fungi,P,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,-,-,-,-,-,-,-,-,-,-,-,-,Sugar_tr,"only A species, only 1-2 significant hit from A welwitschiae and A niger",3e-78|58%| 98.29%,,XP_026630875.1,
OG0016342,gene_03668.t1,0,1050,"KOG0253@1|root,KOG0253@2759|Eukaryota,39T8W@33154|Opisthokonta,3NXTU@4751|Fungi,3QNAZ@4890|Ascomycota,20GEN@147545|Eurotiomycetes,3S49A@5042|Eurotiales",4751|Fungi,S,Major Facilitator Superfamily,-,-,-,-,-,-,-,-,-,-,-,-,"MFS_1,Sugar_tr",4 aspergillus sepcies,0|100%|100%,,,
OG0013079,gene_12273.t1,0,1149,"KOG0254@1|root,KOG0254@2759|Eukaryota,38CBN@33154|Opisthokonta,3NUVA@4751|Fungi,3QJZJ@4890|Ascomycota,20EJ6@147545|Eurotiomycetes,3S4EF@5042|Eurotiales",4751|Fungi,P,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,-,-,-,ko:K08141,-,-,-,-,"ko00000,ko02000",2.A.1.1,-,-,Sugar_tr,,nothing found,,,
OG0012223,gene_02195.t1,0,1875,"KOG0318@1|root,KOG3162@1|root,KOG4711@1|root,KOG0318@2759|Eukaryota,KOG3162@2759|Eukaryota,KOG4711@2759|Eukaryota,38HAN@33154|Opisthokonta,3NWXR@4751|Fungi,3QMBH@4890|Ascomycota,20D1Z@147545|Eurotiomycetes,3S55A@5042|Eurotiales",4751|Fungi,J,Fusaric acid resistance protein-like,-,-,-,-,-,-,-,-,-,-,-,-,"ArAE_2,FUSC_2",only in some a species,8e-92|100|93.71%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250724-070743-0094-39410981-p1m/internal-1753337255978-938-1/,singalp with disorder region,
OG0011503,gene_03073.t1,0,1246,"COG0326@1|root,KOG0019@2759|Eukaryota,38B7K@33154|Opisthokonta,3NW2G@4751|Fungi,3QKC7@4890|Ascomycota,20B7E@147545|Eurotiomycetes,3S64V@5042|Eurotiales",4751|Fungi,O,Heat shock protein,HSP82,"GO:0000166,GO:0000491,GO:0000492,GO:0000723,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006457,GO:0006458,GO:0006605,GO:0006626,GO:0006725,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006950,GO:0006970,GO:0006996,GO:0007005,GO:0007154,GO:0007165,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0009266,GO:0009277,GO:0009405,GO:0009408,GO:0009628,GO:0009719,GO:0009725,GO:0009755,GO:0009889,GO:0009891,GO:0009893,GO:0009986,GO:0009987,GO:0010033,GO:0010467,GO:0010556,GO:0010557,GO:0010570,GO:0010604,GO:0010638,GO:0010941,GO:0014070,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0023052,GO:0030312,GO:0030428,GO:0030446,GO:0030447,GO:0030518,GO:0030522,GO:0030554,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032200,GO:0032204,GO:0032206,GO:0032210,GO:0032212,GO:0032553,GO:0032555,GO:0032559,GO:0032870,GO:0033036,GO:0033043,GO:0033044,GO:0033365,GO:0033554,GO:0033993,GO:0034605,GO:0034613,GO:0034622,GO:0034641,GO:0035639,GO:0035690,GO:0036094,GO:0040007,GO:0040008,GO:0042026,GO:0042221,GO:0042493,GO:0042592,GO:0042623,GO:0042886,GO:0042981,GO:0043067,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043248,GO:0043401,GO:0043933,GO:0044085,GO:0044182,GO:0044237,GO:0044238,GO:0044260,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0045184,GO:0045926,GO:0045935,GO:0046483,GO:0046907,GO:0048518,GO:0048519,GO:0048522,GO:0048545,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051082,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051276,GO:0051604,GO:0051641,GO:0051649,GO:0051704,GO:0051716,GO:0060249,GO:0060255,GO:0060258,GO:0061077,GO:0065003,GO:0065007,GO:0065008,GO:0070585,GO:0070727,GO:0070887,GO:0071310,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071702,GO:0071704,GO:0071705,GO:0071826,GO:0071840,GO:0071944,GO:0072594,GO:0072655,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1900428,GO:1900429,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1904356,GO:1904358,GO:2000112,GO:2000278,GO:2000573,GO:2001252",-,ko:K04079,"ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418",-,-,-,"ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147",-,-,-,"HATPase_c,HSP90",only A species,,,only disorder region,
OG0013679,gene_03366.t1,0,3554,"COG1020@1|root,COG3321@1|root,KOG1178@2759|Eukaryota,KOG1202@2759|Eukaryota,38HGX@33154|Opisthokonta,3NXPF@4751|Fungi,3QSQU@4890|Ascomycota,20GB5@147545|Eurotiomycetes",4751|Fungi,I,polyketide synthase,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Acyl_transf_1,KAsynt_C_assoc,Ketoacyl-synt_C,PP-binding,ketoacyl-synt",,0 | 100% |99.62%,,lysm effector protein,25.26372758
OG0011197,gene_04650.t1,0,4566,"COG3321@1|root,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NVHI@4751|Fungi,3QNN7@4890|Ascomycota,20RVG@147545|Eurotiomycetes,3SAI8@5042|Eurotiales",4751|Fungi,Q,PKS_DH,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N,Acyl_transf_1,FSH1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt",many hits,,,HET domain containing prot,
OG0013990,gene_04898.t1,0,4694,"COG3321@1|root,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NWH8@4751|Fungi,3QQ5E@4890|Ascomycota,20AUC@147545|Eurotiomycetes",4751|Fungi,I,polyketide synthase,-,"GO:0008150,GO:0008152,GO:0019748",-,-,-,-,-,-,-,-,-,-,"Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_11,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt",only2sighit from niger,4e-169|98%|90%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250724-112946-0150-8510460-p1m/internal-1753352982407-1836-1/,only disorder pred region,
