GENE_ID,GO_IDs
gene_08556,"GO:0008150,GO:0032995,GO:0044087,GO:0050789,GO:0050794,GO:0065007,GO:1903338"
gene_07442,"GO:0008150,GO:0009636,GO:0009987,GO:0042221,GO:0050896,GO:0051716,GO:0070887,GO:0097237,GO:0098754,GO:1990748"
gene_08999,"GO:0008150,GO:0009636,GO:0009987,GO:0042221,GO:0050896,GO:0051716,GO:0070887,GO:0097237,GO:0098754,GO:1990748"
gene_10767,"GO:0008150,GO:0009636,GO:0009987,GO:0042221,GO:0050896,GO:0051716,GO:0070887,GO:0097237,GO:0098754,GO:1990748"
gene_13099,"GO:0008150,GO:0009636,GO:0009987,GO:0042221,GO:0050896,GO:0051716,GO:0070887,GO:0097237,GO:0098754,GO:1990748"
gene_01391,"GO:0008150,GO:0008152,GO:0019748"
gene_03771,"GO:0008150,GO:0008152,GO:0019748"
gene_06077,"GO:0008150,GO:0008152,GO:0019748"
gene_07890,"GO:0008150,GO:0008152,GO:0019748"
gene_11192,"GO:0008150,GO:0008152,GO:0019748"
gene_04294,"GO:0008150,GO:0008152,GO:0009058,GO:0019748,GO:0044550,GO:0071704,GO:1900558,GO:1900560,GO:1900561,GO:1900563,GO:1901576"
gene_01389,"GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018130,GO:0018904,GO:0019748,GO:0044237,GO:0044249,GO:0044281,GO:0046483,GO:0071704,GO:1901334,GO:1901336,GO:1901360,GO:1901362,GO:1901503,GO:1901510,GO:1901512,GO:1901576"
gene_07794,"GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018130,GO:0018904,GO:0019748,GO:0044237,GO:0044249,GO:0044281,GO:0046483,GO:0071704,GO:1901334,GO:1901336,GO:1901360,GO:1901362,GO:1901503,GO:1901510,GO:1901512,GO:1901576"
gene_07348,"GO:0008150,GO:0008152,GO:0009058,GO:0009889,GO:0009891,GO:0009893,GO:0019222,GO:0019748,GO:0043455,GO:0044550,GO:0048518,GO:0050789,GO:0065007,GO:1900376,GO:1900378"
gene_00241,"GO:0008150,GO:0008152,GO:0009056,GO:0071704,GO:1901575"
gene_01901,"GO:0007163,GO:0008150,GO:0009987,GO:0030010"
gene_11580,"GO:0006996,GO:0007029,GO:0008150,GO:0009987,GO:0010256,GO:0016043,GO:0061024,GO:0071786,GO:0071840,GO:0090158,GO:1990809"
gene_04407,"GO:0006996,GO:0007005,GO:0007006,GO:0008150,GO:0009987,GO:0016043,GO:0061024,GO:0071840"
gene_04832,"GO:0006950,GO:0008150,GO:0009636,GO:0009987,GO:0033554,GO:0042221,GO:0050896,GO:0051409,GO:0051410,GO:0051716,GO:0070458,GO:0070887,GO:0071500,GO:0097237,GO:0098754,GO:1901698,GO:1990748"
gene_02085,"GO:0006950,GO:0006970,GO:0008150,GO:0009628,GO:0009987,GO:0033554,GO:0050896,GO:0051716,GO:0071214,GO:0071470,GO:0104004"
gene_08492,"GO:0006810,GO:0006897,GO:0008150,GO:0016192,GO:0051179,GO:0051234,GO:0098657"
gene_07027,"GO:0006810,GO:0006888,GO:0008150,GO:0016192,GO:0046907,GO:0048193,GO:0051179,GO:0051234,GO:0051641,GO:0051649"
gene_07109,"GO:0006810,GO:0006888,GO:0008150,GO:0016192,GO:0046907,GO:0048193,GO:0051179,GO:0051234,GO:0051641,GO:0051649"
gene_06722,"GO:0006810,GO:0006839,GO:0008150,GO:0051179,GO:0051234,GO:0055085,GO:1990542"
gene_12911,"GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006839,GO:0006851,GO:0008150,GO:0030001,GO:0034220,GO:0036444,GO:0051179,GO:0051234,GO:0055085,GO:0060401,GO:0070509,GO:0070588,GO:0070838,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:1990542"
gene_01159,"GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0009987,GO:0015672,GO:0030001,GO:0034220,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0098655,GO:0098660,GO:0098662"
gene_10266,"GO:0006807,GO:0008150,GO:0008152,GO:0071941"
gene_03925,"GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0019627,GO:0034641,GO:0043603,GO:0044237,GO:0044281,GO:0071704,GO:0071941,GO:1901564"
gene_06696,"GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0019627,GO:0034641,GO:0043603,GO:0044237,GO:0044281,GO:0071704,GO:0071941,GO:1901564"
gene_10040,"GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0019627,GO:0034641,GO:0043603,GO:0044237,GO:0044281,GO:0071704,GO:0071941,GO:1901564"
gene_05617,"GO:0006807,GO:0008150,GO:0008152"
gene_09522,"GO:0006807,GO:0008150,GO:0008152"
gene_04937,"GO:0006732,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009820,GO:0009821,GO:0009987,GO:0017144,GO:0018130,GO:0019748,GO:0034641,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044550,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1900794,GO:1900796,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663"
gene_00015,"GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0018130,GO:0019438,GO:0019748,GO:0043385,GO:0043386,GO:0044237,GO:0044249,GO:0044550,GO:0045460,GO:0045461,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901376,GO:1901378,GO:1901576"
gene_06304,"GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0018130,GO:0019438,GO:0019748,GO:0043385,GO:0043386,GO:0044237,GO:0044249,GO:0044550,GO:0045460,GO:0045461,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901376,GO:1901378,GO:1901576"
gene_07771,"GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0018130,GO:0019438,GO:0019748,GO:0043385,GO:0043386,GO:0044237,GO:0044249,GO:0044550,GO:0045460,GO:0045461,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901376,GO:1901378,GO:1901576"
gene_08787,"GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0018130,GO:0019438,GO:0019748,GO:0043385,GO:0043386,GO:0044237,GO:0044249,GO:0044550,GO:0045460,GO:0045461,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901376,GO:1901378,GO:1901576"
gene_07344,"GO:0006725,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0018958,GO:0019438,GO:0019748,GO:0036182,GO:0036184,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663"
gene_07345,"GO:0006725,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0018958,GO:0019438,GO:0019748,GO:0036182,GO:0036184,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663"
gene_05249,"GO:0006629,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016042,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0071704,GO:1901575"
gene_03263,"GO:0006606,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0033036,GO:0033365,GO:0034504,GO:0034613,GO:0042886,GO:0045184,GO:0046907,GO:0051169,GO:0051170,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071705,GO:0072594"
gene_03607,"GO:0006582,GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018958,GO:0019438,GO:0019748,GO:0042438,GO:0042440,GO:0044237,GO:0044249,GO:0044550,GO:0046148,GO:0046189,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617"
gene_03606,"GO:0006582,GO:0006725,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009987,GO:0018958,GO:0019438,GO:0019748,GO:0030638,GO:0030640,GO:0042438,GO:0042440,GO:0044237,GO:0044249,GO:0044550,GO:0046148,GO:0046189,GO:0071704,GO:0090487,GO:1901360,GO:1901362,GO:1901575,GO:1901576,GO:1901615,GO:1901617"
