"Orthogroup","query","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"OG0010416","gene_00505.t1",0,1559,"COG0480@1|root,KOG0465@2759|Eukaryota,38GUI@33154|Opisthokonta,3NV2U@4751|Fungi,3QNG6@4890|Ascomycota,20F5T@147545|Eurotiomycetes,3S49I@5042|Eurotiales","4751|Fungi","J","Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome","MEF1","GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019538,GO:0032543,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0070125,GO:0071704,GO:0097159,GO:0097367,GO:0140053,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576","-","ko:K02355","-","-","-","-","ko00000,ko03012,ko03029","-","-","-","EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2"
"OG0010416","gene_00505.t1",1.63e-186,518,"2944D@1|root,2RB1B@2759|Eukaryota,39Z6N@33154|Opisthokonta,3P1IQ@4751|Fungi,3QUCM@4890|Ascomycota,20ET2@147545|Eurotiomycetes,3S9D3@5042|Eurotiales","4751|Fungi","S","Pal1 cell morphology protein","-","-","-","-","-","-","-","-","-","-","-","-","Pal1"
"OG0010416","gene_00505.t1",3.07e-301,823,"arCOG02806@1|root,2QRGR@2759|Eukaryota,38HE8@33154|Opisthokonta,3NVTA@4751|Fungi,3QQPQ@4890|Ascomycota,20BGK@147545|Eurotiomycetes,3S52Y@5042|Eurotiales","4751|Fungi","S","Sulfate transporter","-","-","-","-","-","-","-","-","-","-","-","-","MFS_MOT1"
"OG0010416","gene_00505.t1",0,1282,"2E9TQ@1|root,2SG4F@2759|Eukaryota,3A8FJ@33154|Opisthokonta,3P70M@4751|Fungi,3QY52@4890|Ascomycota,20HJQ@147545|Eurotiomycetes,3SESY@5042|Eurotiales","4751|Fungi","S","Protein of unknown function (DUF2420)","-","-","-","-","-","-","-","-","-","-","-","-","DUF2420"
"OG0010416","gene_00505.t1",0,910,"COG1607@1|root,KOG2763@2759|Eukaryota,38EDX@33154|Opisthokonta,3NUK0@4751|Fungi,3QJJU@4890|Ascomycota,20E5A@147545|Eurotiomycetes,3S5S3@5042|Eurotiales","4751|Fungi","I","Acyl-CoA thioester hydrolase","-","-","-","ko:K17361","-","-","-","-","ko00000,ko01000,ko01004","-","-","-","-"
"OG0010416","gene_00505.t1",2.02e-137,391,"2B1DQ@1|root,2S0A4@2759|Eukaryota,3A3S7@33154|Opisthokonta,3P46F@4751|Fungi,3QW2T@4890|Ascomycota,20HJE@147545|Eurotiomycetes,3S8RH@5042|Eurotiales","4751|Fungi","J","60S ribosomal protein L20","-","GO:0000313,GO:0000315,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0031974,GO:0032543,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0071704,GO:0098798,GO:0140053,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","-","-","-","-","-","-","-","-","-","MRP-L20"
"OG0010416","gene_00505.t1",0,1025,"KOG2819@1|root,KOG2819@2759|Eukaryota,38BD1@33154|Opisthokonta,3NX8G@4751|Fungi,3QKUJ@4890|Ascomycota,20CSH@147545|Eurotiomycetes,3S37M@5042|Eurotiales","4751|Fungi","IQ","UPF0183 domain protein","-","-","-","-","-","-","-","-","-","-","-","-","UPF0183"
"OG0010682","gene_11927.t1",0,1778,"2CMH7@1|root,2QQC3@2759|Eukaryota,38F6M@33154|Opisthokonta,3NXRA@4751|Fungi,3QKIV@4890|Ascomycota,20CVQ@147545|Eurotiomycetes,3S5U6@5042|Eurotiales","4751|Fungi","T","SLA1 homology domain 1, SHD1","SLA1","GO:0000147,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0005737,GO:0005856,GO:0005933,GO:0005935,GO:0005937,GO:0005938,GO:0006810,GO:0006897,GO:0006898,GO:0006996,GO:0007010,GO:0007015,GO:0008064,GO:0008150,GO:0009987,GO:0010639,GO:0012505,GO:0015629,GO:0016043,GO:0016192,GO:0022607,GO:0030029,GO:0030036,GO:0030427,GO:0030447,GO:0030448,GO:0030479,GO:0030674,GO:0030832,GO:0030833,GO:0030863,GO:0030864,GO:0030865,GO:0030866,GO:0031967,GO:0031975,GO:0032182,GO:0032271,GO:0032535,GO:0032956,GO:0032970,GO:0032991,GO:0033043,GO:0034315,GO:0034316,GO:0038024,GO:0040007,GO:0042995,GO:0043130,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043254,GO:0043332,GO:0044085,GO:0044087,GO:0044396,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044463,GO:0044464,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051125,GO:0051126,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051286,GO:0051493,GO:0051494,GO:0060090,GO:0061645,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066,GO:0097435,GO:0098657,GO:0098748,GO:0099568,GO:0110053,GO:0120025,GO:0120038,GO:1902903,GO:1902904","-","ko:K20046","-","-","-","-","ko00000,ko04131","-","-","-","DUF1720,SH3_1,SH3_9,SHD1"
"OG0010682","gene_11927.t1",7.63e-250,687,"2BXG9@1|root,2RZZS@2759|Eukaryota,38HRD@33154|Opisthokonta,3P06T@4751|Fungi,3QP2M@4890|Ascomycota,20DG8@147545|Eurotiomycetes,3S4V4@5042|Eurotiales","4751|Fungi","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"OG0010682","gene_11927.t1",0,1028,"2CMW2@1|root,2QS9U@2759|Eukaryota,38H50@33154|Opisthokonta,3NVE5@4751|Fungi,3QKD2@4890|Ascomycota,20G1R@147545|Eurotiomycetes,3S4F9@5042|Eurotiales","4751|Fungi","S","Arrestin (Or S-antigen), N-terminal domain protein","LDB19","GO:0002090,GO:0002092,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005829,GO:0005886,GO:0006810,GO:0006897,GO:0008104,GO:0008150,GO:0009893,GO:0010604,GO:0010958,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0019222,GO:0019899,GO:0030100,GO:0030135,GO:0030136,GO:0030674,GO:0031323,GO:0031325,GO:0031410,GO:0031625,GO:0031982,GO:0032879,GO:0032880,GO:0032890,GO:0032891,GO:0033036,GO:0033365,GO:0034613,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0043271,GO:0044070,GO:0044389,GO:0044424,GO:0044444,GO:0044464,GO:0045184,GO:0045807,GO:0048259,GO:0048260,GO:0048518,GO:0048519,GO:0048522,GO:0050789,GO:0050794,GO:0051049,GO:0051050,GO:0051051,GO:0051128,GO:0051130,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051641,GO:0051952,GO:0051953,GO:0051955,GO:0051956,GO:0060090,GO:0060255,GO:0060341,GO:0060627,GO:0065007,GO:0070086,GO:0070201,GO:0070727,GO:0071702,GO:0071705,GO:0071944,GO:0072594,GO:0090087,GO:0097708,GO:0098657,GO:1903789,GO:1903792,GO:1903827,GO:1903829,GO:1903959,GO:1903960,GO:1904062,GO:1904063,GO:1904951,GO:1905532,GO:1905533,GO:2000395,GO:2000397","-","ko:K20059","-","-","-","-","ko00000,ko04131","-","-","-","LDB19"
